ModName,MapId,MapName,Author,CompLevel,Files,Merge,Port,Notes,Coop
Memento Mori II,MAP17,No One,Michael Rapp,3,MM2.WAD|MM2MUS.WAD,,,,Supported
Memento Mori II,MAP18,Regulate,Matthias Worch,3,MM2.WAD|MM2MUS.WAD,,,,Supported
Memento Mori II,MAP19,The Shaft,Jeremy Statz,3,MM2.WAD|MM2MUS.WAD,,,,Supported
Memento Mori II,MAP20,The Experiment,Alden Bates,3,MM2.WAD|MM2MUS.WAD,,,,Supported
Memento Mori II,MAP21,Sanctuary,Andy Badorek,3,MM2.WAD|MM2MUS.WAD,,,,Supported
Memento Mori II,MAP22,R.R.F. Refinary,Thomas Möller,3,MM2.WAD|MM2MUS.WAD,,,,Supported
Memento Mori II,MAP23,No Way Out,Eric Sargent,3,MM2.WAD|MM2MUS.WAD,,,,Supported
Memento Mori II,MAP24,Io Lab,Sean Birkel,3,MM2.WAD|MM2MUS.WAD,,,,Supported
Memento Mori II,MAP25,Forgotten Town,Denis Möller,3,MM2.WAD|MM2MUS.WAD,,,,Supported
Memento Mori II,MAP26,Base Exposure,Mark Klem,3,MM2.WAD|MM2MUS.WAD,,,,Supported
Memento Mori II,MAP27,The Silos,Paul Noble,3,MM2.WAD|MM2MUS.WAD,,,,Supported
Memento Mori II,MAP28,Corporate Hell,Stephen Watson,3,MM2.WAD|MM2MUS.WAD,,,,Supported
Memento Mori II,MAP29,Kings of Metal,Jens Nielsen,3,MM2.WAD|MM2MUS.WAD,,,,Supported
Memento Mori II,MAP30,It,Jim Wraith,3,MM2.WAD|MM2MUS.WAD,,,,Supported
Memento Mori II,MAP31,DejaVu,Orin Flaharty,3,MM2.WAD|MM2MUS.WAD,,,,Supported
Memento Mori II,MAP32,Dances with Demons,David Kuykendall,3,MM2.WAD|MM2MUS.WAD,,,,Supported
Dystopia 3,MAP01,,Adelusion,,DYST3LEV.WAD|DYST3TEX.WAD,,,,Supported
Dystopia 3,MAP02,,Fingers,,DYST3LEV.WAD|DYST3TEX.WAD,,,,Supported
Dystopia 3,MAP03,,Fingers,,DYST3LEV.WAD|DYST3TEX.WAD,,,,Supported
Dystopia 3,MAP04,,Adelusion,,DYST3LEV.WAD|DYST3TEX.WAD,,,,Supported
Dystopia 3,MAP05,,Adelusion,,DYST3LEV.WAD|DYST3TEX.WAD,,,,Supported
Dystopia 3,MAP06,,Fingers,,DYST3LEV.WAD|DYST3TEX.WAD,,,,Supported
Dystopia 3,MAP07,,Fingers,,DYST3LEV.WAD|DYST3TEX.WAD,,,,Supported
Dystopia 3,MAP08,,Fingers,,DYST3LEV.WAD|DYST3TEX.WAD,,,,Supported
Dystopia 3,MAP09,,Adelusion,,DYST3LEV.WAD|DYST3TEX.WAD,,,,Supported
Dystopia 3,MAP10,,Adelusion,,DYST3LEV.WAD|DYST3TEX.WAD,,,,Supported
Dystopia 3,MAP11,,Adelusion and Fingers,,DYST3LEV.WAD|DYST3TEX.WAD,,,,Supported
All Hell is Breaking Loose,MAP01,Home Sick,Joel Huenink,2,Allhell.wad|Ahlevels.wad|ahflats.wad|Ahmus.wad|allhell.deh,,,,Supported
All Hell is Breaking Loose,MAP02,Shaft,Joel Huenink,2,Allhell.wad|Ahlevels.wad|ahflats.wad|Ahmus.wad|allhell.deh,,,,Supported
All Hell is Breaking Loose,MAP03,Bridge to Damnation,Joel Huenink,2,Allhell.wad|Ahlevels.wad|ahflats.wad|Ahmus.wad|allhell.deh,,,,Supported
All Hell is Breaking Loose,MAP04,Cave of Death,Michael Niggel (Risen) and Chris Niggel (Kamikazi),2,Allhell.wad|Ahlevels.wad|ahflats.wad|Ahmus.wad|allhell.deh,,,,Supported
All Hell is Breaking Loose,MAP05,Fiendish City,Joel Huenink,2,Allhell.wad|Ahlevels.wad|ahflats.wad|Ahmus.wad|allhell.deh,,,,Supported
Army of Darkness TC,E3M1,Evil Dead,Stefan Maes,3,aoddoom1.wad|aoddoom1.deh,,,,Supported
Army of Darkness TC,E3M2,Arthur's Castle,Stefan Maes,3,aoddoom1.wad|aoddoom1.deh,,,,Supported
Army of Darkness TC,E3M3,The Pit,Andrew Stine and Stefan Maes,3,aoddoom1.wad|aoddoom1.deh,,,,Supported
Army of Darkness TC,E3M4,Good Ash vs Bad Ash,Stefan Maes,3,aoddoom1.wad|aoddoom1.deh,,,,Supported
Army of Darkness TC,E3M5,Necronomicon Ex Mortis,Steve Conway and Stefan Maes,3,aoddoom1.wad|aoddoom1.deh,,,,Supported
Army of Darkness TC,E3M6,In The Deal,Stefan Maes,3,aoddoom1.wad|aoddoom1.deh,,,,Supported
Army of Darkness TC,E3M7,Let's Go,Stefan Maes,3,aoddoom1.wad|aoddoom1.deh,,,,Supported
Army of Darkness TC,E3M8,Shop S-Mart,Mike Barker and Stefan Maes,3,aoddoom1.wad|aoddoom1.deh,,,,Supported
Army of Darkness TC,E3M9,Slept Too Long,Lawton Roberts,3,aoddoom1.wad|aoddoom1.deh,,,,Supported
Icarus,MAP01,Shuttlecraft ,Christopher Buteau,3,ICARUS.WAD,,,Designed for Doom 1.9 according to the accompanying text file,Supported
Icarus,MAP02,Shuttle Bay ,John Minadeo (Ship),3,ICARUS.WAD,,,,Supported
Icarus,MAP03,Quarry ,Ty Halderman (Planet),3,ICARUS.WAD,,,,Supported
Icarus,MAP04,Engineering ,Jim Lowell (Ship),3,ICARUS.WAD,,,,Supported
Icarus,MAP05,Flipside ,Mark Snell (Simulation),3,ICARUS.WAD,,,,Supported
Icarus,MAP06,P.E.T. Rescue ,Gary Gosson (Planet),3,ICARUS.WAD,,,,Supported
Icarus,MAP07,Sickbay ,Tom Grieve (Ship),3,ICARUS.WAD,,,,Supported
Icarus,MAP08,Donnybrook ,David J. Hill (Planet),3,ICARUS.WAD,,,,Supported
Icarus,MAP09,The Moat ,David J. Hill (Simulation),3,ICARUS.WAD,,,,Supported
Icarus,MAP10,Bridge ,Ty Halderman (Ship),3,ICARUS.WAD,,,,Supported
Icarus,MAP11,Feeding Frenzy ,Gregg Anderson (Planet),3,ICARUS.WAD,,,,Supported
Icarus,MAP12,Hydroponics ,Gary Gosson (Ship),3,ICARUS.WAD,,,,Supported
Icarus,MAP13,Asylum ,Robert Taylor (Simulation),3,ICARUS.WAD,,,,Supported
Icarus,MAP14,Fortress of Evil ,Robin Patenall (Planet),3,ICARUS.WAD,,,,Supported
Icarus,MAP15,Waste Disposal ,Ken Simpson and Jim Kennedy (Ship),3,ICARUS.WAD,,,,Supported
Icarus,MAP16,Bootcamp ,Mike Marcotte (Simulation),3,ICARUS.WAD,,,,Supported
Icarus,MAP17,Bloodbath ,Mike Marcotte (Planet),3,ICARUS.WAD,,,,Supported
Icarus,MAP18,Cargo Bay ,Andrew Dowswell (Ship),3,ICARUS.WAD,,,,Supported
Icarus,MAP19,Blessed are the Quick ,Rand Phares (Planet),3,ICARUS.WAD,,,,Supported
Icarus,MAP20,WarTemple ,Rand Phares (Simulation),3,ICARUS.WAD,,,,Supported
Icarus,MAP21,Engine Core ,Dean Johnson (Ship),3,ICARUS.WAD,,,,Supported
Icarus,MAP22,Nightfall ,Gary Gosson (Simulation),3,ICARUS.WAD,,,,Supported
Icarus,MAP23,Painful Discharge,Brian Kidby (Planet),3,ICARUS.WAD,,,,Supported
Icarus,MAP24,The Haunting ,Gary Gosson (Ship),3,ICARUS.WAD,,,,Supported
Icarus,MAP25,Another Fine Mess ,Michael Bristol (Planet),3,ICARUS.WAD,,,,Supported
Icarus,MAP26,Weapons Bay ,Jim Dethlefsen (Ship),3,ICARUS.WAD,,,,Supported
Icarus,MAP27,Starhenge ,Ty Halderman (Planet),3,ICARUS.WAD,,,,Supported
Icarus,MAP28,Excavations ,Steven Phares (Simulation),3,ICARUS.WAD,,,,Supported
Icarus,MAP29,Brutality ,Mike Ruete (Planet),3,ICARUS.WAD,,,,Supported
Icarus,MAP30,Nucleus ,"Ty Halderman, Brian Kidby, and Jim Lowell (Ship)",3,ICARUS.WAD,,,,Supported
Icarus,MAP31,Great Balls of Fire ,Jim Lowell (Simulation),3,ICARUS.WAD,,,,Supported
Icarus,MAP32,Prestidigitation ,Ty Halderman (Simulation),3,ICARUS.WAD,,,,Supported
Polygon Base,MAP01,,Rick Lipsey,,POLYGON.WAD,,,,No
99 Ways to Die,MAP01,,Warren Marshall,,99WAYS.WAD|99ways03-fix.wad,,,"Difficulty ""mainly geared for level 3 though""",No
99 Ways to Die,MAP02,,Warren Marshall,,99WAYS.WAD|99ways03-fix.wad,,,,No
99 Ways to Die,MAP03,,Warren Marshall,,99WAYS.WAD|99ways03-fix.wad,,,,No
The Troopers' Playground,MAP01,Welcome,Matthias Worch,3,TTP.WAD|TTP.DEH,,,There is no BFG in this episode,Supported
The Troopers' Playground,MAP02,Intrusion,Matthias Worch,3,TTP.WAD|TTP.DEH,,,Ingame demos were recorded with 1.9,Supported
The Troopers' Playground,MAP03,Simply Dead...,Matthias Worch,3,TTP.WAD|TTP.DEH,,,,Supported
The Troopers' Playground,MAP04,Going Down,Matthias Worch,3,TTP.WAD|TTP.DEH,,,,Supported
The Troopers' Playground,MAP05,Underground Temple,Matthias Worch,3,TTP.WAD|TTP.DEH,,,,Supported
The Troopers' Playground,MAP06,Deep Down Below,Matthias Worch,3,TTP.WAD|TTP.DEH,,,,Supported
The Troopers' Playground,MAP07,Three-O-Matic,Matthias Worch,3,TTP.WAD|TTP.DEH,,,,Supported
The Troopers' Playground,MAP08,Star Control,Matthias Worch,3,TTP.WAD|TTP.DEH,,,,Supported
The Troopers' Playground,MAP09,Deliverence?,Matthias Worch,3,TTP.WAD|TTP.DEH,,,There's a bonus level in the separate wad TPPBONUS.WAD,Supported
A Hidden Mountain Factory,MAP01,,Grzegorz Werner,,MTFACTOR.WAD,,,,Supported
